t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
1	0.000145444	0.000423558	0.000930595
2	0.000290888	0.000847325	0.00186165
3	0.000436332	0.0012711	0.00279273
4	0.000581776	0.00169486	0.00372375
5	0.000727221	0.00211862	0.0046548
6	0.000872665	0.0025424	0.00558587
7	0.00101811	0.00296613	0.00651684
8	0.00116355	0.00338991	0.00744792
9	0.001309	0.00381365	0.00837889
10	0.00145444	0.00423738	0.00930986
11	0.00159989	0.00466111	0.0102408
12	0.00174533	0.00508485	0.0111718
13	0.00189077	0.00550858	0.0121027
14	0.00203622	0.0059323	0.0130337
15	0.00218166	0.00635603	0.0139646
16	0.00232711	0.00677975	0.0148955
17	0.00247255	0.00720347	0.0158264
18	0.00261799	0.00762719	0.0167573
19	0.00276344	0.00805091	0.0176882
20	0.00290888	0.00847462	0.0186191
21	0.00305433	0.00889833	0.0195499
22	0.00319977	0.00932204	0.0204808
23	0.00334521	0.00974574	0.0214116
24	0.00349066	0.0101694	0.0223424
25	0.0036361	0.0105931	0.0232733
26	0.00378155	0.0110168	0.024204
27	0.00392699	0.0114405	0.0251348
28	0.00407243	0.0118642	0.0260656
29	0.00421788	0.0122879	0.0269963
30	0.00436332	0.0127116	0.027927
31	0.00450877	0.0131352	0.0288577
32	0.00465421	0.0135589	0.0297884
33	0.00479966	0.0139826	0.0307191
34	0.0049451	0.0144062	0.0316497
35	0.00509054	0.0148299	0.0325803
36	0.00523599	0.0152535	0.0335109
37	0.00538143	0.0156772	0.0344415
38	0.00552688	0.0161008	0.035372
39	0.00567232	0.0165244	0.0363026
40	0.00581776	0.0169481	0.037233
41	0.00596321	0.0173717	0.0381635
42	0.00610865	0.0177953	0.039094
43	0.0062541	0.0182189	0.0400244
44	0.00639954	0.0186425	0.0409548
45	0.00654498	0.0190661	0.0418851
46	0.00669043	0.0194897	0.0428155
47	0.00683587	0.0199133	0.0437458
48	0.00698132	0.0203369	0.0446761
49	0.00712676	0.0207604	0.0456063
50	0.00727221	0.021184	0.0465365
51	0.00741765	0.0216076	0.0474667
52	0.00756309	0.0220311	0.0483969
53	0.00770854	0.0224547	0.049327
54	0.00785398	0.0228782	0.0502571
55	0.00799943	0.0233017	0.0511871
56	0.00814487	0.0237252	0.0521171
57	0.00829031	0.0241487	0.0530471
58	0.00843576	0.0245722	0.053977
59	0.0085812	0.0249957	0.0549069
60	0.00872665	0.0254192	0.0558368
61	0.00887209	0.0258427	0.0567666
62	0.00901753	0.0262662	0.0576964
63	0.00916298	0.0266896	0.0586262
64	0.00930842	0.0271131	0.0595559
65	0.00945387	0.0275365	0.0604856
66	0.00959931	0.0279599	0.0614152
67	0.00974475	0.0283833	0.0623448
68	0.0098902	0.0288068	0.0632743
69	0.0100356	0.0292302	0.0642038
70	0.0101811	0.0296535	0.0651333
71	0.0103265	0.0300769	0.0660627
72	0.010472	0.0305003	0.066992
73	0.0106174	0.0309237	0.0679214
74	0.0107629	0.031347	0.0688506
75	0.0109083	0.0317703	0.0697799
76	0.0110538	0.0321937	0.070709
77	0.0111992	0.032617	0.0716382
78	0.0113446	0.0330403	0.0725673
79	0.0114901	0.0334636	0.0734963
80	0.0116355	0.0338869	0.0744253
81	0.011781	0.0343101	0.0753542
82	0.0119264	0.0347334	0.0762831
83	0.0120719	0.0351566	0.0772119
84	0.0122173	0.0355799	0.0781407
85	0.0123627	0.0360031	0.0790694
86	0.0125082	0.0364263	0.0799981
87	0.0126536	0.0368495	0.0809267
88	0.0127991	0.0372727	0.0818552
89	0.0129445	0.0376959	0.0827837
90	0.01309	0.038119	0.0837122
91	0.0132354	0.0385422	0.0846406
92	0.0133809	0.0389653	0.0855689
93	0.0135263	0.0393884	0.0864972
94	0.0136717	0.0398115	0.0874254
95	0.0138172	0.0402346	0.0883535
96	0.0139626	0.0406577	0.0892816
97	0.0141081	0.0410808	0.0902097
98	0.0142535	0.0415038	0.0911376
99	0.014399	0.0419269	0.0920655
100	0.0145444	0.0423499	0.0929934
101	0.0146899	0.0427729	0.0939212
102	0.0148353	0.0431959	0.0948489
103	0.0149807	0.0436189	0.0957765
104	0.0151262	0.0440418	0.0967041
105	0.0152716	0.0444648	0.0976316
106	0.0154171	0.0448877	0.0985591
107	0.0155625	0.0453106	0.0994865
